[2021-03-18 21:12:20][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:05:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:06:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:07:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:08:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:09:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:10:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:11:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:12:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:13:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:14:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:15:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:16:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:17:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:18:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:19:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:20:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:21:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:22:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:23:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:24:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:25:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:26:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:27:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:28:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:29:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:30:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:31:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:32:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:33:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:34:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:35:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:36:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:37:31][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:38:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:39:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:40:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:41:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:42:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:43:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:44:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:45:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:46:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:47:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:48:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:49:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:50:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:51:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:52:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:53:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:54:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:55:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:56:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:57:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:58:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 10:59:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:00:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:01:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:02:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:03:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:04:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:05:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:06:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:07:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:08:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:09:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:10:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:11:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:12:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:13:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:14:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:15:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:16:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:17:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:18:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:19:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:20:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:21:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:22:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:23:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:24:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:25:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:26:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:27:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:28:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:29:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:30:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:31:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:32:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:33:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:34:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:35:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:36:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:37:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:38:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:39:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:40:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:41:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:42:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:43:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:44:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:45:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:46:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:47:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:48:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:49:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:50:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:51:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:52:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:53:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:54:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:55:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:56:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:57:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:58:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 11:59:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:00:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:01:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:02:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:03:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:04:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:05:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:06:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:07:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:08:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:09:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:10:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:11:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:12:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:13:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:14:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:15:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:16:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:17:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:18:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:19:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:20:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:21:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:22:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:23:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:24:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:25:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:26:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:27:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:28:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:29:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:30:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:31:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:32:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:33:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:34:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:35:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:36:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:37:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:38:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:39:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:40:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:41:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:42:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:43:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:44:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:45:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:46:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:47:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:48:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:49:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:50:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:51:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:52:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:53:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:54:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:55:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:56:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:57:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:58:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 12:59:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 13:00:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 13:01:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 13:02:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 13:03:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
[2021-03-19 13:04:32][CHAT -1001426223726]: CURRENT STAGE: none, AUTO_CHANGE_CURRENT: 500, AUTO_CHANGE_VALUE: 500
